benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
341857925.yaml,7,2,3,2,1,0,0.0,3,3,0,0,0
342251191.yaml,7,0,7,0,0,0,0,0,0,0,0,0
342880374.yaml,53,20,16,17,3,0,1.4,62,34,14,0,14
342972034.yaml,20,11,7,2,2,0,1.8181818181818181,51,29,10,4,8
343093526.yaml,49,12,11,26,6,0,0.6666666666666666,28,19,4,1,4
343689369.yaml,6,2,3,1,1,0,1.0,5,3,1,0,1
344174366.yaml,12,3,6,3,2,0,0.0,6,5,0,1,0
344265043.yaml,19,4,12,3,3,0,0.5,7,7,0,0,0
344336590.yaml,1,0,1,0,0,0,0,0,0,0,0,0
344367813.yaml,2,0,1,1,0,0,0,0,0,0,0,0
344418233.yaml,1,0,1,0,0,0,0,0,0,0,0,0
344476972.yaml,23,5,8,10,1,0,1.2,17,13,2,1,1
344935762.yaml,23,10,11,2,2,0,1.4,41,28,7,3,3
345152147.yaml,70,5,16,49,5,0,0.0,5,5,0,0,0
345415722.yaml,21,2,7,12,1,0,1.0,10,7,2,1,0
346126984.yaml,22,4,11,7,2,0,0.5,8,7,1,0,0
346341383.yaml,1,0,1,0,0,0,0,0,0,0,0,0
346777963.yaml,62,0,7,55,0,0,0,0,0,0,0,0
346835348.yaml,57,4,12,41,0,0,0.0,0,0,0,0,0
348472727.yaml,1,0,1,0,0,0,0,0,0,0,0,0
348581680.yaml,12,4,7,1,4,0,0.0,4,4,0,0,0
348690308.yaml,22,1,16,5,0,0,0.0,2,2,0,0,0
348993182.yaml,12,5,7,0,3,0,2.4,33,27,4,2,0
349338242.yaml,37,0,5,32,0,0,0,0,0,0,0,0
350606282.yaml,3,0,1,2,0,0,0,0,0,0,0,0
